Image,Arena,City,State,Team,Conference,Capacity,Opened
,UPMC Events Center,Moon Township,PA,Robert Morris,Horizon,"4,000",2019
,Nutter Center,Fairborn,OH,Wright State,Horizon,"10,400",1990
,Beeghly Center,Youngstown,OH,Youngstown State,Horizon,"6,500",1972
,Pizzitola Sports Center,Providence,RI,Brown,Ivy,"2,800",1989
,Levien Gymnasium,New York,NY,Columbia,Ivy,"3,408",1974
,Newman Arena,Ithaca,NY,Cornell,Ivy,"4,473",1990
,Leede Arena,Hanover,NH,Dartmouth,Ivy,"2,100",1986
,Lavietes Pavilion,Allston,MA,Harvard,Ivy,"2,195",1982
,Palestra,Philadelphia,PA,Penn,Ivy,"8,722",1927
,Jadwin Gymnasium,Princeton,NJ,Princeton,Ivy,"6,854",1969
,John J. Lee Amphitheater,New Haven,CT,Yale,Ivy,"2,532",1932
,Emil and Patricia Jones Convocation Center,Chicago,IL,Chicago State,Independent,"7,000",2007
,Koessler Athletic Center,Buffalo,NY,Canisius,MAAC,"2,176",1968
,Leo D. Mahoney Arena,Fairfield,CT,Fairfield,MAAC,"3,500",2022
,Hynes Athletic Center,New Rochelle,NY,Iona,MAAC,"2,611",1974
,Draddy Gymnasium,Bronx,NY,Manhattan,MAAC,"2,345",1978
,McCann Arena,Poughkeepsie,NY,Marist,MAAC,"3,200",1977
,Knott Arena,Emmitsburg,MD,Mount St. Mary's,MAAC,"3,121",1987
,Gallagher Center,Lewiston,NY,Niagara,MAAC,"2,400",1949
,People's United Center,Hamden,CT,Quinnipiac,MAAC,"3,570",2007
,Alumni Gymnasium,Lawrenceville,NJ,Rider,MAAC,"1,950",1958
,MVP Arena,Albany,NY,Siena men,MAAC,"15,229",1990
,Alumni Recreation Center,Loudonville,NY,Siena women,MAAC,"4,000",1974
,Yanitelli Center,Jersey City,NJ,Saint Peter's,MAAC,"3,200",1975
,James A. Rhodes Arena,Akron,OH,Akron,MAC,"5,500",1983
,Worthen Arena,Muncie,IN,Ball State,MAC,"11,500",1991
,Stroh Center,Bowling Green,OH,Bowling Green,MAC,"4,700",2011
,Alumni Arena,Amherst,NY,Buffalo,MAC,"6,100",1982
,McGuirk Arena,Mount Pleasant,MI,Central Michigan,MAC,"5,300",1973
,George Gervin GameAbove Center,Ypsilanti,MI,Eastern Michigan,MAC,"8,824",1998
,Memorial Athletic and Convocation Center,Kent,OH,Kent State,MAC,"6,327",1950
,Millett Hall,Oxford,OH,Miami (Ohio),MAC,"6,400",1968
,Convocation Center,DeKalb,IL,Northern Illinois,MAC,"10,000",2002
,Convocation Center,Athens,OH,Ohio,MAC,"13,080",1968
,Savage Arena,Toledo,OH,Toledo,MAC,"7,300",1976
,University Arena,Kalamazoo,MI,Western Michigan,MAC,"5,421",1957
,Physical Education Complex,Baltimore,MD,Coppin State,MEAC,"4,100",2009
,Memorial Hall,Dover,DE,Delaware State,MEAC,"3,000",1982
,Burr Gymnasium,Washington,DC,Howard,MEAC,"2,700",1963
,Hytche Athletic Center,Princess Anne,MD,Maryland Eastern Shore,MEAC,"5,500",1999
,Talmadge L. Hill Field House,Baltimore,MD,Morgan State,MEAC,"4,250",1975
,Joseph G. Echols Memorial Hall,Norfolk,VA,Norfolk State,MEAC,"4,500",1982
,McDougald–McLendon Arena,Durham,NC,North Carolina Central,MEAC,"3,056",1955
,SHM Memorial Center,Orangeburg,SC,South Carolina State,MEAC,"3,200",1968
,Curb Event Center,Nashville,TN,Belmont,Missouri Valley,"5,085",2003
,Carver Arena,Peoria,IL,Bradley men,Missouri Valley,"11,164",1982
,Renaissance Coliseum,Peoria,IL,Bradley women,Missouri Valley,"4,200",2010
,Knapp Center,Des Moines,IA,Drake,Missouri Valley,"6,424",1992
