Image,Arena,City,State,Team,Conference,Capacity,Opened
,Freedom Hall Civic Center,Johnson City,TN,East Tennessee State,Southern,"6,149",1974
,Timmons Arena,Greenville,SC,Furman,Southern,"4,000",1998
,Hawkins Arena,Macon,GA,Mercer,Southern,"3,500",2004
,Pete Hanna Center,Homewood,AL,Samford,Southern,"4,974",2007
,Greensboro Coliseum,Greensboro,NC,UNC Greensboro,Southern,"7,613",1959
,Cameron Hall,Lexington,VA,VMI,Southern,"5,800",1981
,Ramsey Center,Cullowhee,NC,Western Carolina,Southern,"7,826",1986
,Jerry Richardson Indoor Stadium,Spartanburg,SC,Wofford,Southern,"3,400",2017
,Sharp Gymnasium,Houston,TX,Houston Christian,Southland,"1,000",1963
,McDermott Center,San Antonio,TX,Incarnate Word,Southland,"2,000",1989
,Montagne Center,Beaumont,TX,Lamar,Southland,"10,746",1984
,The Legacy Center,Lake Charles,LA,McNeese,Southland,"4,200",2018
,Lakefront Arena,New Orleans,LA,New Orleans,Southland,"8,933",1983
,Stopher Gymnasium,Thibodaux,LA,Nicholls,Southland,"3,800",1967
,Prather Coliseum,Natchitoches,LA,Northwestern State,Southland,"3,400",1964
,University Center,Hammond,LA,Southeastern Louisiana,Southland,"7,500",1982
,Texas A&M–Commerce Field House,Commerce,TX,Texas A&M–Commerce,Southland,"3,055",1950
,American Bank Center Arena,Corpus Christi,TX,Texas A&M-Corpus Christi,Southland,"8,000",2004
,Magness Arena,Denver,CO,Denver,Summit,"7,200",1999
,Swinney Recreation Center,Kansas City,MO,Kansas City,Summit,"1,500",1941
,Betty Engelstad Sioux Center,Grand Forks,ND,North Dakota,Summit,"3,300",2004
,Scheels Center,Fargo,ND,North Dakota State,Summit,"5,700",2016
,Baxter Arena,Omaha,NE,Omaha,Summit,"7,500",2015
,Mabee Center,Tulsa,OK,Oral Roberts,Summit,"10,554",1972
,Schoenecker Arena,Saint Paul,MN,St. Thomas,Summit,"1,800",2010
,Sanford Coyote Sports Center,Vermillion,SD,South Dakota,Summit,"6,000",2016
,Frost Arena,Brookings,SD,South Dakota State,Summit,"6,500",1973
,Western Hall,Macomb,IL,Western Illinois,Summit,"5,139",1964
,George M. Holmes Convocation Center,Boone,NC,Appalachian State,Sun Belt,"8,325",2000
,First National Bank Arena,Jonesboro,AR,Arkansas State,Sun Belt,"10,563",1987
,HTC Center,Conway,SC,Coastal Carolina,Sun Belt,"3,600",2012
,Hanner Fieldhouse,Statesboro,GA,Georgia Southern,Sun Belt,"4,325",1969
,Georgia State Convocation Center,Atlanta,GA,Georgia State,Sun Belt,"7,300",2022
,Atlantic Union Bank Center,Harrisonburg,VA,James Madison,Sun Belt,"8,500",2020
,Cajundome,Lafayette,LA,Louisiana,Sun Belt,"13,500",1985
,Fant–Ewing Coliseum,Monroe,LA,Louisiana–Monroe,Sun Belt,"7,085",1971
,Cam Henderson Center,Huntington,WV,Marshall,Sun Belt,"9,048",1981
,Chartway Arena,Norfolk,VA,Old Dominion,Sun Belt,"8,472",2002
,Mitchell Center,Mobile,AL,South Alabama,Sun Belt,"10,041",1998
,Reed Green Coliseum,Hattiesburg,MS,Southern Miss,Sun Belt,"8,095",1965
,Strahan Arena,San Marcos,TX,Texas State,Sun Belt,"10,000",1982
,Trojan Arena,Troy,AL,Troy,Sun Belt,"5,200",2012
,Alabama A&M Events Center,Normal,AL,Alabama A&M,SWAC,"6,000",2022
,Dunn–Oliver Acadome,Montgomery,AL,Alabama State,SWAC,"7,400",1992
,Davey Whitney Complex,Lorman,MS,Alcorn State,SWAC,"7,000",1975
,K. L. Johnson Complex,Pine Bluff,AR,Arkansas-Pine Bluff,SWAC,"4,500",1982
,Moore Gymnasium,Daytona,FL,Bethune-Cookman,SWAC,"3,000",1953
,Al Lawson Center,Tallahassee,FL,Florida A&M,SWAC,"9,639",2009
