factors,id,rotorLength_A,legLength_B,legWidth_C,paperClip_D,flightTime1,flightTime2,flightTime3,flightTime4
I,1,0,0,0,0,2.4,1.62,1.8,2
AD,2,1,0,0,1,1.3,1.2,1.3,1.5
BD,3,0,1,0,1,1.6,1.5,1.8,1.7
AB,4,1,1,0,0,1.8,2,1.8,1.7
CD,5,0,0,1,1,1.4,1.4,1.6,1.3
AC,6,1,0,1,0,1.8,2.1,2.1,1.8
BC,7,0,1,1,0,1.5,1.6,1.5,1.7
ABCD,8,1,1,1,1,1.7,1.8,1.8,1.8
